lon,lat,tas_mean,tas_trend_per_decade,tas_trend_p,huss_mean,huss_trend_per_decade,huss_trend_p,rsds_mean,rsds_trend_per_decade,rsds_trend_p,sfcwind_mean,sfcwind_trend_per_decade,sfcwind_trend_p,ps_mean,ps_trend_per_decade,ps_trend_p
114.25,23.75,21.75701,-0.20010075424656726,0.5886510570072508,14.295825,0.28936571063417377,0.39804575193643665,152.45099,-0.4652996641216856,0.9571841315336758,2.0441236,-0.07737575155315977,0.4679081035667565,980.3494,-0.362042051373106,0.41375109826458856
114.75,22.75,22.756477,-0.2767917748653528,0.38175990607888877,14.827746,0.3063426162257339,0.28269783792646475,164.44064,1.9164622913707385,0.819225086136408,3.2053573,-0.15415457523230347,0.2223909632282518,997.8806,-0.3662923177083333,0.4638893042563299
114.75,23.25,22.284254,-0.2626625985810251,0.5028253008658529,14.194803,0.41953115752249054,0.20769839113457655,161.72482,2.0451244007457388,0.8178997366409875,2.1921356,-0.1063117908708977,0.3537158095814931,993.4215,-0.35843542850378785,0.45252706939680687
115.25,23.25,21.474398,-0.3238236398407907,0.4621724789462761,14.003201,0.3202452226118608,0.22979942519825328,161.96317,0.906914913293087,0.9193020528115237,2.0014768,-0.1040187965739857,0.3262316911861222,978.9006,-0.34996448863636365,0.4570711386581806
115.25,23.75,21.288134,-0.23410519686612216,0.6037823869203351,13.834283,0.2326369430079605,0.39218642479177396,157.59868,-0.4212960907907197,0.9624646461317298,2.081262,-0.11223607352285675,0.38393298125091047,974.11633,-0.3375835996685606,0.44062609161081023
115.75,23.25,21.70399,-0.25251885616418085,0.5858520544971039,14.079081,0.2449016571044922,0.321598631191903,164.06056,1.2909897312973484,0.8863694399233382,2.2521327,-0.07662342533920749,0.5193788983489738,986.53156,-0.336200136126894,0.49508832474508796
115.75,23.75,21.182543,-0.12837716304894647,0.7964706615487464,13.654149,0.16791748278068774,0.48422327397492393,156.62398,0.3983477968158144,0.9649265854299913,1.9743341,-0.0790328546003862,0.559990222237673,974.91003,-0.3241780598958333,0.47069105412400214
116.25,23.25,22.346453,-0.034706462513316765,0.9348679628148164,14.366681,0.2500211542302912,0.24279710416878575,169.50398,2.0425803444602275,0.8201707681617071,2.6880693,-0.04542118130308209,0.7421573596669747,1001.30005,-0.34732333096590906,0.4927554316023032
116.25,23.75,21.456808,0.008329796068596117,0.9859221701703466,13.966585,0.22039731343587238,0.32742663973019637,158.58656,1.0105054450757576,0.9140681456219214,1.8269744,-0.01877830967758641,0.8687765743776641,983.9341,-0.3338068181818182,0.473730622855579
116.25,24.25,20.71067,0.0791921904592803,0.867988564696318,13.264357,0.2640112674597538,0.3424439591074498,158.17337,-0.9365558046283142,0.9187367426697158,1.72803,-0.014846411618319424,0.8895688336464167,976.87744,-0.34826290246212116,0.4339229779251032
116.75,23.25,23.113321,0.06184583721738873,0.8769329182618181,14.896322,0.1829756534460819,0.36736205254613996,175.23193,2.368511777935606,0.7906975377285808,3.0130284,-0.02423335566665187,0.8797471307943099,1007.742,-0.32691539417613635,0.5245062721487156
116.75,23.75,21.521877,0.13885706121271307,0.7594486808575359,13.935054,0.13071464769767993,0.5012544533823284,168.78352,1.9853349165482956,0.8268737591189962,2.1370556,0.019556421222108787,0.8737318157533798,991.8772,-0.31564423532196967,0.5119725243219511
116.75,24.25,20.451416,0.1619971304228812,0.7325220212514733,13.391437,0.1876065225312204,0.38700868516945763,158.19713,0.24027783942945077,0.9789779113415202,1.6632335,0.01592321829362349,0.8467903577036592,972.25775,-0.3127256451231061,0.4778832982799772
116.75,38.25,14.262264,0.23930272189053622,0.6656192020600049,7.848568,-0.2515905264652136,0.18898342783200617,178.44398,7.382616447679925,0.05448266152702958,2.998357,0.16595616485133316,0.14413735614577325,1013.8976,-0.10071170691287878,0.7169580751297828
116.75,38.75,14.18047,0.2813669840494792,0.6221538118354363,7.7067227,-0.26585443092115,0.20797416298428623,177.59462,7.244401411576704,0.05493292862706827,2.9484074,0.18216151902169894,0.08794299922512873,1013.9936,-0.1098891749526515,0.688259581001902
116.75,39.25,13.918779,0.27344611196806934,0.6242834179964796,7.471511,-0.2903043573552912,0.20327793099331157,175.38828,7.50668242483428,0.037232700953805334,2.8014958,0.17536932049375592,0.07605505988725673,1013.65094,-0.16045587713068182,0.559571795601974
117.25,23.75,21.949612,0.08626880067767519,0.8330277168658528,14.147973,0.1365876053318833,0.5073370389958783,174.57224,3.615452621922348,0.6762348785138187,2.5613456,0.00961465546579072,0.9409287179680673,997.2229,-0.31514855587121215,0.5049317003266433
117.25,24.25,19.962402,0.09843144272312974,0.8146014274830996,13.085196,0.13847853920676492,0.5342321262063464,162.36963,1.4763165098248108,0.866347799951305,1.7297007,-0.012010335922241211,0.8682690660710926,967.77356,-0.3015173709753788,0.4852812095495198
117.25,24.75,19.697498,0.13167167432380444,0.7376348146250508,13.187301,0.1695493640321674,0.48539537002776545,156.17838,0.42726181492660986,0.9628581416502092,1.4578345,-0.009858702168320164,0.8882422103534913,950.03955,-0.3092521898674243,0.4347324868372347
117.25,37.75,14.099804,0.2554933952562737,0.6184532208538988,7.9023027,-0.17583656311035156,0.3341514335017055,178.43298,8.416533499053031,0.04973574645907751,2.898842,0.1467043703252619,0.1764811909112904,1013.46967,-0.1266460996685606,0.6543932639301966
117.25,38.25,13.982112,0.3290723164876302,0.5836398156287449,7.823529,-0.17508067506732364,0.44630682865461896,178.5595,7.7286941065932755,0.05727120618388742,3.188704,0.18912367387251422,0.10152765428686075,1014.17487,-0.14795291785037878,0.6070452436411479
117.25,38.75,13.986607,0.3675088015469638,0.5478862391610565,7.922483,-0.20293579679546936,0.40201316462032605,177.54437,7.744294137665719,0.04664503448603215,3.2626064,0.19977793549046372,0.08191883928442761,1014.38727,-0.15681966145833334,0.5774884025807581
117.25,39.25,13.926064,0.3348975904060132,0.5580992915163141,7.722337,-0.21492030403830792,0.3597045864706183,176.08061,7.110530968868371,0.04631101842576773,3.0142708,0.1915688081221147,0.06830112358910452,1014.3746,-0.1998623934659091,0.4774902421832593
117.25,39.75,13.401771,0.3200136242490826,0.5375819408754373,7.3323407,-0.20387499260179925,0.4134518455230088,173.98961,7.328515255089963,0.0454035986159824,2.5752857,0.17099845770633582,0.05494184755648603,1013.506,-0.1934259588068182,0.4918527893427616
117.75,24.25,21.449144,0.06293360392252605,0.8747399683759289,13.638925,0.12056287129720052,0.5950682561775116,167.43408,3.4195917302911933,0.6901006549330689,2.269306,-0.03554481448549213,0.6864482825551983,1000.8536,-0.26557321259469696,0.5633255562139127
117.75,24.75,20.84398,0.06916173299153645,0.8637400256895693,13.558808,0.13554151130445077,0.5421360665084816,161.82607,1.9085832075639206,0.8273275735926346,1.6476974,-0.02362637808828643,0.686237771467245,977.22723,-0.2886334043560606,0.4943224056808026
